,District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
332,Bharuch,medium,medium,high,medium,low,high,medium,medium,low,medium,high,low,high,medium,high,medium,high,medium,low,low,medium,high,medium,low,low,medium,medium,low,GJ,Rural,Western Zone
334,The Dangs,medium,medium,medium,low,low,high,medium,medium,low,medium,medium,medium,medium,medium,medium,medium,high,medium,low,low,high,high,high,low,low,high,high,high,GJ,Rural,Western Zone
340,Valsad,medium,high,medium,medium,medium,high,medium,high,medium,low,medium,medium,medium,medium,medium,medium,high,medium,low,low,high,medium,low,medium,low,medium,medium,low,GJ,Rural,Western Zone
342,Surat,high,low,high,high,high,high,high,high,medium,low,medium,medium,high,medium,high,medium,high,medium,low,low,low,low,medium,high,medium,medium,low,low,GJ,Urban,Western Zone
344,Tapi,medium,low,high,low,low,high,medium,high,medium,low,medium,low,high,medium,high,high,high,low,low,low,medium,high,high,low,low,medium,medium,medium,GJ,Rural,Western Zone
347,Chamba,medium,medium,high,high,low,high,medium,high,medium,low,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,medium,medium,medium,low,high,medium,low,HP,Rural,Northern Zone
350,Kangra,high,low,high,medium,low,high,high,high,high,low,medium,medium,high,high,high,high,medium,medium,low,low,low,low,medium,medium,medium,medium,high,low,HP,Rural,Northern Zone
353,Lahul &Spiti,medium,low,high,medium,medium,high,high,high,medium,low,high,medium,medium,medium,high,medium,medium,medium,low,low,low,low,low,medium,medium,high,high,high,HP,Rural,Northern Zone
356,Kullu,medium,medium,high,medium,low,high,high,high,medium,low,high,medium,high,high,high,medium,medium,medium,low,low,low,low,low,medium,medium,medium,high,low,HP,Rural,Northern Zone
359,Mandi,medium,low,high,high,low,high,high,high,high,low,high,medium,medium,medium,medium,high,high,low,medium,low,low,low,low,medium,low,low,medium,low,HP,Rural,Northern Zone
362,Hamirpur,high,medium,high,high,low,high,high,high,high,low,medium,medium,high,medium,high,medium,high,medium,medium,medium,low,low,low,medium,medium,medium,medium,low,HP,Rural,Northern Zone
365,Una,high,low,high,high,low,high,high,high,high,low,medium,medium,high,medium,high,medium,high,low,low,low,low,low,medium,high,medium,medium,medium,medium,HP,Rural,Northern Zone
368,Bilaspur,high,low,high,high,low,high,high,high,high,low,medium,medium,medium,high,high,medium,high,medium,low,low,low,low,medium,medium,medium,low,medium,low,HP,Rural,Northern Zone
371,Solan,high,medium,high,medium,medium,high,high,high,medium,low,high,low,high,medium,high,high,medium,medium,low,low,medium,low,medium,medium,medium,high,high,medium,HP,Rural,Northern Zone
374,Sirmaur,medium,low,high,medium,low,high,high,high,medium,low,high,medium,medium,medium,high,high,medium,medium,low,low,low,medium,medium,medium,medium,medium,medium,low,HP,Rural,Northern Zone
377,Shimla,medium,medium,high,high,medium,high,high,high,high,low,high,low,high,medium,high,high,medium,medium,low,low,low,low,medium,medium,medium,high,high,medium,HP,Rural,Northern Zone
380,Kinnaur,medium,low,high,medium,high,high,high,high,high,low,high,low,high,medium,high,high,medium,medium,low,low,low,low,medium,medium,medium,high,high,high,HP,Rural,Northern Zone
383,Panchkula,medium,low,high,high,medium,high,high,high,medium,low,high,low,high,medium,high,high,high,medium,low,low,low,low,low,medium,medium,high,medium,low,HR,Rural,Northern Zone
386,Ambala,medium,low,high,high,medium,high,high,high,high,low,high,low,medium,medium,high,high,high,medium,medium,low,low,low,low,low,low,high,high,medium,HR,Rural,Northern Zone
391,Kurukshetra,medium,low,high,high,medium,high,high,high,medium,low,high,low,medium,medium,high,high,high,medium,low,low,medium,low,low,medium,medium,medium,medium,medium,HR,Rural,Northern Zone
393,Kaithal,medium,low,high,high,low,high,medium,high,medium,low,high,low,medium,medium,high,high,high,medium,low,low,medium,low,medium,medium,medium,high,high,low,HR,Rural,Northern Zone
395,Karnal,high,low,high,high,high,high,high,high,high,low,high,low,medium,high,high,high,high,medium,low,low,medium,low,low,high,medium,medium,medium,low,HR,Urban,Northern Zone
396,Karnal,medium,medium,high,high,medium,high,high,high,medium,low,high,low,medium,high,high,high,high,medium,low,low,medium,low,low,medium,medium,high,high,low,HR,Rural,Northern Zone
398,Panipat,high,low,high,high,high,high,high,high,high,low,high,low,medium,medium,high,medium,high,low,low,low,high,low,low,medium,medium,high,high,low,HR,Urban,Northern Zone
401,Sonipat,high,low,high,high,high,high,high,high,high,low,high,low,low,medium,high,medium,high,low,low,low,high,low,low,medium,high,medium,medium,low,HR,Urban,Northern Zone
402,Sonipat,medium,low,high,high,low,high,high,high,medium,low,high,low,medium,low,high,high,high,low,low,low,medium,low,low,high,medium,medium,high,medium,HR,Rural,Northern Zone
404,Jind,medium,medium,high,high,low,high,high,high,medium,low,high,low,medium,medium,high,high,high,medium,low,low,low,low,low,low,low,high,high,medium,HR,Rural,Northern Zone
406,Fatehabad,medium,medium,high,high,low,high,medium,high,medium,low,high,low,medium,medium,high,high,medium,medium,low,low,medium,medium,low,low,low,high,high,medium,HR,Rural,Northern Zone
408,Sirsa,medium,low,high,high,low,medium,medium,medium,medium,low,high,low,medium,medium,high,high,high,medium,low,low,medium,medium,low,medium,medium,high,high,medium,HR,Rural,Northern Zone
411,Hisar,medium,low,high,high,low,high,medium,high,medium,low,high,low,low,medium,high,high,high,low,low,low,low,low,low,low,medium,medium,high,medium,HR,Rural,Northern Zone
413,Bhiwani,medium,medium,high,high,low,high,high,high,medium,low,high,low,medium,medium,high,high,high,medium,low,low,medium,medium,medium,medium,medium,high,high,low,HR,Rural,Northern Zone
415,Rohtak,high,low,high,high,high,high,high,high,high,medium,high,low,medium,medium,high,medium,medium,medium,low,low,medium,low,low,medium,medium,high,medium,low,HR,Urban,Northern Zone
416,Rohtak,medium,medium,high,high,low,high,high,high,medium,low,high,low,medium,low,high,medium,medium,medium,low,low,medium,low,low,medium,low,high,high,low,HR,Rural,Northern Zone
418,Jhajjar,medium,low,high,high,low,high,high,high,medium,low,high,low,medium,medium,high,medium,high,medium,medium,medium,low,low,low,medium,medium,high,high,low,HR,Rural,Northern Zone
420,Mahendragarh,medium,low,high,high,low,high,high,high,medium,low,high,low,medium,medium,high,high,high,high,medium,medium,low,medium,medium,low,low,high,high,medium,HR,Rural,Northern Zone
422,Rewari,medium,low,high,high,low,high,high,high,medium,low,medium,medium,low,low,high,medium,medium,low,low,low,low,medium,medium,medium,low,high,high,low,HR,Rural,Northern Zone
424,Gurgaon,high,medium,high,medium,high,high,medium,high,medium,medium,medium,medium,medium,low,high,low,high,low,low,low,medium,low,low,medium,medium,medium,high,medium,HR,Urban,Northern Zone
425,Gurgaon,medium,low,high,high,medium,high,high,high,medium,medium,medium,medium,low,low,high,low,medium,low,low,low,low,low,low,medium,medium,high,high,medium,HR,Rural,Northern Zone
427,Mewat,low,medium,medium,medium,low,low,low,medium,low,medium,low,high,low,low,low,low,low,low,low,low,high,medium,medium,low,low,high,high,medium,HR,Rural,Northern Zone
429,Faridabad,high,low,low,high,high,high,high,high,medium,low,low,medium,low,low,high,medium,medium,medium,low,low,low,low,low,medium,medium,high,medium,low,HR,Urban,Northern Zone
431,Palwal,medium,medium,high,medium,low,medium,medium,high,low,medium,medium,medium,low,low,medium,low,medium,low,low,low,medium,low,low,low,medium,high,high,low,HR,Rural,Northern Zone
434,Garhwa,medium,medium,high,low,low,high,medium,medium,low,high,medium,medium,low,low,medium,medium,medium,low,low,low,medium,medium,medium,low,low,medium,high,medium,JH,Rural,Eastern Zone
437,Chatra,medium,medium,medium,low,low,high,medium,medium,low,high,medium,medium,low,low,medium,medium,medium,low,low,low,high,high,high,low,low,medium,medium,medium,JH,Rural,Eastern Zone
440,Kodarma,medium,low,high,low,low,high,medium,high,low,high,medium,low,medium,low,high,medium,medium,low,low,low,medium,high,medium,low,low,high,high,medium,JH,Rural,Eastern Zone
443,Giridih,medium,low,medium,low,low,high,low,medium,low,high,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,high,medium,low,low,high,high,medium,JH,Rural,Eastern Zone
446,Deoghar,medium,low,high,low,low,high,low,medium,low,high,medium,medium,low,low,medium,medium,medium,low,low,low,medium,high,medium,low,low,medium,medium,medium,JH,Rural,Eastern Zone
449,Godda,low,low,high,low,low,high,low,medium,low,high,medium,medium,low,low,medium,medium,medium,medium,low,low,high,high,medium,low,low,high,high,medium,JH,Rural,Eastern Zone
452,Sahibganj,low,low,high,low,low,high,low,low,low,medium,medium,medium,low,low,medium,medium,medium,low,low,low,high,medium,medium,low,low,high,high,medium,JH,Rural,Eastern Zone
455,Pakur,low,low,high,low,low,high,low,medium,low,medium,medium,medium,low,low,medium,high,medium,medium,low,low,high,high,high,low,low,high,high,medium,JH,Rural,Eastern Zone
457,Dhanbad,medium,low,high,medium,low,high,medium,high,medium,medium,medium,low,medium,low,high,high,medium,low,low,low,medium,medium,medium,medium,low,high,high,medium,JH,Urban,Eastern Zone
458,Dhanbad,medium,medium,medium,low,low,high,medium,high,low,medium,medium,low,low,low,medium,high,medium,low,low,low,medium,high,medium,low,low,high,high,medium,JH,Rural,Eastern Zone
460,Bokaro,medium,medium,high,medium,medium,high,medium,high,medium,low,medium,medium,medium,medium,high,medium,medium,low,low,low,medium,medium,medium,medium,medium,high,high,medium,JH,Urban,Eastern Zone
461,Bokaro,medium,low,medium,low,low,high,medium,high,low,medium,medium,medium,low,low,medium,high,medium,low,low,low,medium,high,medium,low,low,high,high,high,JH,Rural,Eastern Zone
464,Lohardaga,medium,medium,medium,low,low,high,medium,medium,low,medium,low,medium,low,low,high,medium,medium,medium,low,low,medium,high,medium,low,low,medium,high,high,JH,Rural,Eastern Zone
466,Purbi Singhbhum,high,medium,high,high,high,high,high,high,high,low,medium,medium,medium,low,high,medium,low,low,medium,medium,low,low,low,medium,medium,medium,high,medium,JH,Urban,Eastern Zone
467,Purbi Singhbhum,medium,low,high,low,low,high,medium,medium,low,medium,low,medium,medium,low,high,high,medium,low,low,low,high,medium,low,low,low,high,high,high,JH,Rural,Eastern Zone
470,Palamu,low,medium,high,low,low,high,medium,medium,low,medium,low,medium,low,low,medium,medium,medium,low,low,low,medium,medium,medium,low,low,medium,medium,medium,JH,Rural,Eastern Zone
473,Latehar,medium,low,medium,low,low,high,medium,medium,low,medium,low,medium,low,low,medium,medium,medium,low,low,low,medium,medium,medium,low,low,medium,medium,high,JH,Rural,Eastern Zone
476,Hazaribagh,medium,low,medium,low,low,high,medium,high,medium,high,high,medium,medium,low,high,high,high,medium,low,low,high,medium,medium,low,low,high,high,low,JH,Rural,Eastern Zone
478,Ramgarh,medium,medium,medium,medium,low,high,high,medium,medium,low,medium,medium,medium,low,high,medium,medium,low,low,low,medium,medium,medium,medium,low,high,high,medium,JH,Urban,Eastern Zone
479,Ramgarh,medium,medium,medium,low,low,high,medium,high,medium,medium,medium,medium,low,low,medium,medium,medium,medium,low,low,medium,medium,medium,low,low,high,high,medium,JH,Rural,Eastern Zone
482,Dumka,medium,medium,high,low,low,high,medium,medium,low,high,medium,medium,low,low,medium,high,medium,low,medium,medium,medium,high,low,low,low,high,high,medium,JH,Rural,Eastern Zone
485,Jamtara,low,low,high,low,low,high,low,medium,low,medium,medium,medium,low,low,medium,medium,medium,low,low,low,medium,high,medium,low,low,high,high,medium,JH,Rural,Eastern Zone
487,Ranchi,high,low,high,medium,high,high,high,high,high,low,medium,medium,medium,medium,high,high,medium,low,low,low,low,low,medium,medium,medium,medium,medium,low,JH,Urban,Eastern Zone
488,Ranchi,medium,medium,medium,low,low,high,medium,medium,medium,medium,medium,medium,low,low,high,medium,medium,medium,low,low,high,high,medium,low,low,high,high,high,JH,Rural,Eastern Zone
491,Khunti,medium,medium,low,low,low,high,medium,medium,low,medium,medium,medium,medium,low,medium,high,medium,low,low,low,medium,medium,low,low,low,high,high,high,JH,Rural,Eastern Zone
494,Gumla,medium,medium,low,low,low,high,medium,medium,low,medium,low,high,low,low,medium,medium,high,low,low,low,medium,medium,medium,low,low,high,high,medium,JH,Rural,Eastern Zone
497,Simdega,medium,medium,medium,low,low,high,medium,medium,low,low,low,high,low,low,medium,medium,medium,low,medium,medium,medium,medium,medium,low,low,high,high,high,JH,Rural,Eastern Zone
500,Pashchimi Singhbhum,low,medium,medium,low,low,high,low,low,low,low,low,high,low,low,low,medium,low,low,low,low,high,medium,medium,low,low,high,high,medium,JH,Rural,Eastern Zone
503,Saraikela Kharsawan,medium,low,medium,low,low,high,medium,medium,low,medium,low,medium,low,low,medium,high,medium,medium,low,low,medium,high,medium,low,low,high,high,high,JH,Rural,Eastern Zone
506,Kupwara,medium,low,high,low,medium,high,medium,high,low,low,medium,medium,high,low,high,high,high,medium,medium,medium,medium,low,medium,low,low,medium,high,low,JK,Rural,Northern Zone
509,Badgam,medium,medium,high,medium,medium,high,medium,medium,low,low,high,low,high,low,high,high,high,medium,low,low,low,low,low,medium,low,medium,medium,low,JK,Rural,Northern Zone
511,Leh(Ladakh),medium,low,high,low,high,high,high,high,high,low,high,low,high,low,high,high,high,high,medium,medium,low,low,low,medium,high,medium,medium,low,JK,Urban,Northern Zone
512,Leh(Ladakh),medium,low,medium,low,high,high,medium,high,medium,low,high,low,high,medium,high,high,medium,medium,high,high,low,low,low,medium,medium,medium,low,low,JK,Rural,Northern Zone
515,Kargil,medium,low,high,low,low,high,medium,high,medium,low,high,low,high,medium,high,high,high,medium,medium,medium,medium,low,low,low,low,medium,low,low,JK,Rural,Northern Zone
518,Punch,medium,low,medium,medium,low,medium,medium,high,medium,low,medium,medium,high,medium,high,high,high,medium,medium,high,low,low,medium,medium,low,medium,low,low,JK,Rural,Northern Zone
521,Rajouri,medium,medium,medium,medium,low,medium,medium,high,medium,medium,low,medium,medium,low,high,medium,medium,medium,medium,medium,medium,low,low,medium,low,medium,medium,low,JK,Rural,Northern Zone
524,Kathua,medium,low,high,medium,low,high,high,high,medium,low,high,low,high,medium,high,high,medium,medium,medium,medium,medium,low,low,medium,low,medium,medium,medium,JK,Rural,Northern Zone
527,Baramula,medium,medium,high,medium,medium,high,medium,medium,low,low,medium,low,high,medium,high,high,high,medium,high,high,low,low,low,medium,medium,medium,medium,low,JK,Rural,Northern Zone
530,Bandipore,medium,low,high,medium,medium,high,medium,medium,low,low,medium,medium,high,low,high,high,high,low,medium,medium,low,low,low,high,medium,medium,medium,low,JK,Rural,Northern Zone
532,Srinagar,medium,medium,high,medium,high,high,high,high,medium,low,high,low,high,low,high,high,high,low,medium,medium,low,low,low,high,medium,low,medium,low,JK,Urban,Northern Zone
536,Ganderbal,medium,medium,high,medium,medium,high,medium,medium,low,low,medium,medium,high,low,high,high,high,medium,medium,medium,low,low,low,medium,low,medium,medium,low,JK,Rural,Northern Zone
539,Pulwama,medium,low,high,medium,high,high,medium,high,medium,low,medium,low,high,medium,high,high,high,medium,medium,medium,low,low,low,high,medium,medium,medium,low,JK,Rural,Northern Zone
542,Shupiyan,medium,medium,high,medium,medium,high,medium,high,medium,low,medium,low,high,low,high,high,medium,medium,medium,medium,low,low,low,medium,low,medium,medium,low,JK,Rural,Northern Zone
545,Anantnag,medium,low,high,medium,medium,high,medium,high,low,low,medium,low,high,low,high,high,high,medium,low,medium,low,low,low,medium,low,low,low,low,JK,Rural,Northern Zone
548,Kulgam,medium,medium,high,medium,medium,high,medium,high,low,low,medium,low,high,low,high,high,medium,medium,high,medium,low,low,low,medium,low,medium,medium,low,JK,Rural,Northern Zone
551,Doda,medium,medium,high,medium,low,medium,medium,high,medium,low,low,high,medium,low,medium,medium,medium,low,medium,medium,medium,low,low,low,low,low,low,low,JK,Rural,Northern Zone
554,Ramban,low,medium,high,medium,low,high,low,medium,low,low,low,medium,medium,low,medium,medium,high,medium,medium,medium,medium,low,low,low,low,medium,medium,medium,JK,Rural,Northern Zone
557,Kishtwar,low,low,high,medium,low,high,medium,high,medium,low,medium,medium,medium,low,medium,high,high,medium,medium,medium,low,low,low,low,low,medium,medium,medium,JK,Rural,Northern Zone
560,Udhampur,medium,low,medium,low,low,medium,medium,high,low,low,high,low,high,medium,high,high,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,high,JK,Rural,Northern Zone
563,Reasi,medium,low,medium,medium,low,medium,medium,high,medium,low,medium,medium,medium,medium,medium,high,high,medium,medium,medium,low,low,low,low,low,medium,medium,low,JK,Rural,Northern Zone
569,Samba,medium,medium,high,medium,medium,high,high,high,medium,low,low,medium,high,medium,high,high,low,medium,high,high,low,low,low,high,medium,medium,medium,low,JK,Rural,Northern Zone
571,Belgaum,medium,low,high,low,low,high,medium,high,medium,medium,high,low,high,high,high,medium,high,high,low,low,medium,medium,low,medium,medium,high,medium,low,KA,Rural,Southern Zone
573,Bagalkot,medium,low,high,medium,medium,high,medium,medium,medium,medium,high,low,high,medium,high,high,high,high,low,low,high,medium,medium,medium,medium,medium,medium,low,KA,Urban,Southern Zone
574,Bagalkot,medium,low,high,low,low,medium,medium,medium,low,medium,high,low,high,medium,high,high,high,medium,low,low,medium,medium,medium,low,low,medium,medium,low,KA,Rural,Southern Zone
576,Bijapur,medium,medium,high,low,low,medium,medium,medium,low,medium,high,low,medium,medium,high,medium,high,medium,low,low,high,medium,low,low,low,high,medium,medium,KA,Rural,Southern Zone
578,Bidar,medium,medium,high,low,low,high,medium,high,medium,medium,high,low,high,medium,high,medium,high,high,low,low,medium,medium,medium,low,low,high,medium,medium,KA,Rural,Southern Zone
580,Raichur,low,medium,high,low,low,medium,low,medium,low,medium,high,low,medium,medium,high,medium,high,medium,low,low,medium,medium,low,low,medium,high,high,medium,KA,Rural,Southern Zone
582,Koppal,medium,medium,high,medium,low,medium,medium,medium,low,medium,medium,low,medium,low,high,high,high,medium,low,low,high,medium,medium,low,low,high,medium,low,KA,Rural,Southern Zone
587,Dharwad,high,low,high,high,high,high,high,high,high,low,high,low,high,medium,high,medium,high,medium,low,low,medium,low,low,high,high,medium,medium,low,KA,Urban,Southern Zone
588,Dharwad,medium,low,high,medium,low,medium,medium,medium,medium,low,high,low,high,medium,high,high,medium,medium,low,low,medium,low,low,medium,medium,medium,medium,medium,KA,Rural,Southern Zone
590,Uttara Kannada,high,low,medium,medium,medium,high,high,high,medium,low,medium,low,high,medium,high,high,high,medium,low,low,medium,high,high,low,low,medium,medium,low,KA,Rural,Southern Zone
592,Haveri,medium,low,high,medium,low,medium,medium,high,low,medium,medium,low,high,low,high,medium,high,medium,low,low,medium,medium,medium,low,low,medium,medium,low,KA,Rural,Southern Zone
594,Bellary,medium,low,high,medium,medium,medium,medium,high,medium,low,medium,low,high,medium,high,high,high,medium,low,low,high,medium,low,medium,high,high,medium,low,KA,Urban,Southern Zone
595,Bellary,low,low,high,low,medium,low,low,medium,low,medium,medium,low,high,medium,high,high,high,medium,low,low,high,medium,medium,low,low,high,medium,medium,KA,Rural,Southern Zone
597,Chitradurga,medium,low,high,low,low,low,medium,high,medium,medium,high,low,medium,medium,high,medium,high,medium,low,medium,medium,medium,low,low,medium,medium,medium,medium,KA,Rural,Southern Zone
599,Davanagere,high,medium,high,high,high,high,high,high,high,low,medium,low,high,high,high,medium,high,high,medium,medium,high,low,low,high,medium,medium,medium,low,KA,Urban,Southern Zone
600,Davanagere,medium,medium,high,medium,low,medium,medium,medium,medium,medium,high,low,high,high,high,high,high,high,low,low,medium,medium,medium,medium,low,high,medium,medium,KA,Rural,Southern Zone
609,Tumkur,medium,low,high,medium,low,medium,medium,high,medium,low,high,low,high,high,high,high,high,medium,low,low,medium,medium,medium,medium,low,medium,medium,low,KA,Rural,Southern Zone
611,Bangalore,high,low,high,high,high,high,high,high,high,low,medium,medium,medium,medium,high,medium,high,medium,medium,medium,low,low,low,high,medium,medium,medium,medium,KA,Urban,Southern Zone
613,Mandya,medium,medium,high,medium,medium,high,medium,medium,medium,low,high,low,high,low,high,medium,high,medium,low,medium,low,medium,low,medium,medium,medium,medium,medium,KA,Rural,Southern Zone
620,Kodagu,high,medium,high,high,medium,high,high,high,medium,low,medium,medium,high,medium,high,medium,high,medium,low,low,medium,medium,medium,medium,medium,medium,medium,low,KA,Rural,Southern Zone
623,Mysore,medium,low,high,medium,medium,medium,medium,medium,medium,medium,high,low,medium,medium,high,medium,high,medium,low,low,low,medium,low,medium,medium,medium,medium,low,KA,Rural,Southern Zone
627,Gulbarga,medium,medium,high,medium,high,high,medium,high,medium,medium,medium,low,high,medium,high,low,high,medium,low,low,medium,low,medium,medium,low,high,medium,low,KA,Urban,Southern Zone
628,Gulbarga,low,low,high,low,low,medium,low,medium,low,medium,high,low,high,medium,high,high,high,medium,low,low,high,medium,medium,low,medium,high,medium,low,KA,Rural,Southern Zone
630,Yadgir,low,low,high,low,low,medium,low,low,low,medium,medium,low,medium,medium,high,medium,high,high,low,low,high,medium,low,low,low,high,medium,low,KA,Rural,Southern Zone
637,Bangalore Rural,medium,high,high,high,medium,medium,medium,high,medium,medium,high,low,high,medium,high,medium,high,medium,low,low,medium,medium,medium,medium,medium,medium,medium,medium,KA,Rural,Southern Zone
638,Bangalore Rural - Total,medium,high,high,high,medium,medium,high,high,medium,medium,high,low,high,medium,high,medium,high,medium,low,low,low,medium,low,medium,medium,medium,medium,medium,KA,Rural,Southern Zone
639,Ramanagara,medium,medium,high,medium,medium,medium,medium,high,medium,medium,high,low,high,medium,high,medium,high,medium,low,low,low,medium,medium,medium,medium,medium,medium,medium,KA,Rural,Southern Zone
644,Kannur,high,medium,high,high,medium,high,high,high,high,low,medium,medium,high,high,high,high,medium,high,medium,medium,low,low,low,medium,medium,medium,medium,low,KL,Urban,Southern Zone
648,Wayanad,high,medium,high,high,low,high,high,high,high,low,medium,low,high,high,high,high,high,medium,medium,medium,low,low,low,medium,medium,medium,low,low,KL,Rural,Southern Zone
651,Kozhikode,high,high,high,high,medium,high,high,high,high,low,medium,medium,high,high,high,high,high,high,medium,medium,low,low,low,medium,low,medium,medium,low,KL,Rural,Southern Zone
653,Malappuram,high,low,high,high,medium,high,high,high,high,medium,medium,medium,high,high,high,medium,high,medium,high,high,low,low,low,high,medium,medium,medium,low,KL,Urban,Southern Zone
654,Malappuram,high,medium,high,high,medium,high,high,high,high,low,medium,medium,high,high,high,high,medium,high,high,high,low,low,low,high,medium,medium,medium,low,KL,Rural,Southern Zone
657,Palakkad,high,medium,high,high,medium,high,high,high,high,low,high,medium,high,high,high,high,medium,high,medium,medium,low,low,low,medium,medium,medium,medium,low,KL,Rural,Southern Zone
675,Pathanamthitta,high,medium,high,high,medium,high,high,high,high,low,medium,medium,high,high,high,high,high,medium,high,medium,low,low,low,high,high,low,low,low,KL,Rural,Southern Zone
683,Nandurbar,low,medium,high,low,low,high,low,low,low,medium,medium,low,medium,medium,medium,low,high,medium,low,low,high,high,high,low,low,medium,high,medium,MH,Rural,Western Zone
685,Dhule,medium,low,high,low,low,high,medium,high,low,medium,high,low,medium,low,medium,medium,high,medium,medium,medium,medium,medium,medium,low,low,high,medium,medium,MH,Rural,Western Zone
690,Buldana,medium,low,high,medium,low,high,high,high,low,medium,high,low,high,low,high,high,medium,low,low,low,medium,medium,medium,low,low,medium,medium,low,MH,Rural,Western Zone
692,Akola,high,medium,high,medium,high,high,high,high,high,low,high,low,high,medium,high,medium,medium,medium,low,low,low,medium,low,medium,high,medium,medium,low,MH,Urban,Western Zone
693,Akola,high,low,high,medium,low,high,high,high,medium,low,high,low,high,medium,high,medium,high,high,low,low,medium,medium,medium,low,low,medium,medium,medium,MH,Rural,Western Zone
695,Washim,medium,medium,high,low,low,high,medium,high,medium,medium,high,low,medium,medium,high,high,high,medium,low,low,medium,medium,medium,low,low,medium,medium,medium,MH,Rural,Western Zone
698,Amravati,high,medium,high,medium,low,high,high,high,medium,low,high,low,high,medium,high,medium,high,medium,low,low,medium,medium,medium,low,low,medium,medium,low,MH,Rural,Western Zone
703,Nagpur,high,medium,high,high,high,high,high,high,high,low,high,low,high,medium,high,high,high,medium,low,low,medium,medium,medium,medium,medium,medium,medium,medium,MH,Urban,Western Zone
706,Bhandara,high,medium,high,medium,low,high,high,high,medium,low,high,low,high,medium,high,high,medium,low,low,low,medium,high,high,low,low,medium,medium,medium,MH,Rural,Western Zone
708,Gondiya,high,medium,high,medium,low,high,high,high,medium,low,high,low,high,high,high,high,high,medium,low,low,medium,high,medium,low,low,medium,medium,medium,MH,Rural,Western Zone
710,Gadchiroli,medium,medium,high,low,low,high,medium,high,medium,low,high,low,high,medium,high,high,high,medium,low,low,medium,medium,medium,low,low,medium,medium,medium,MH,Rural,Western Zone
715,Yavatmal,medium,low,medium,low,low,high,medium,high,low,low,high,low,medium,medium,high,medium,high,medium,low,low,high,medium,medium,low,low,high,medium,medium,MH,Rural,Western Zone
717,Nanded,medium,low,high,low,low,high,medium,high,low,medium,high,low,high,medium,high,medium,medium,medium,low,low,medium,medium,medium,low,low,medium,medium,low,MH,Rural,Western Zone
719,Hingoli,medium,medium,high,low,low,high,medium,high,low,medium,high,low,medium,medium,high,medium,medium,medium,low,low,medium,medium,medium,low,low,medium,medium,low,MH,Rural,Western Zone
721,Parbhani,high,low,high,medium,medium,high,high,high,medium,medium,high,low,high,medium,high,medium,medium,low,low,low,medium,low,medium,medium,medium,medium,medium,low,MH,Urban,Western Zone
722,Parbhani,medium,medium,high,low,low,high,medium,medium,low,high,high,low,high,medium,high,medium,high,medium,low,low,high,high,medium,low,low,medium,medium,low,MH,Rural,Western Zone
724,Jalna,medium,low,medium,low,low,high,medium,high,low,high,high,low,medium,medium,high,high,high,medium,low,low,medium,medium,medium,low,low,medium,medium,low,MH,Rural,Western Zone
726,Aurangabad,high,medium,high,medium,high,high,high,high,medium,medium,high,low,high,low,high,high,high,medium,low,low,medium,low,medium,medium,medium,low,medium,low,MH,Urban,Western Zone
729,Nashik,high,low,high,medium,high,high,high,high,medium,medium,high,low,medium,medium,high,medium,high,medium,low,low,medium,medium,low,medium,medium,medium,medium,low,MH,Urban,Western Zone
730,Nashik,medium,low,high,medium,medium,high,high,high,medium,medium,high,low,medium,medium,high,medium,medium,medium,low,low,medium,medium,medium,low,medium,medium,medium,low,MH,Rural,Western Zone
732,Thane,high,low,high,high,high,high,high,high,high,low,high,low,high,high,high,medium,high,medium,low,low,medium,low,low,high,medium,medium,medium,low,MH,Urban,Western Zone
734,Mumbai Suburban,high,medium,high,low,high,high,high,high,medium,low,high,low,high,medium,high,medium,high,medium,medium,low,low,low,low,high,medium,high,medium,low,MH,Urban,Western Zone
736,Mumbai,high,medium,high,medium,high,high,high,high,medium,low,medium,medium,high,medium,high,medium,high,medium,low,low,low,low,low,high,high,high,medium,medium,MH,Urban,Western Zone
